id,author,genre,title,word,frequency,rank,log_rank,log_freq
realism_0,zola,realism,zola_Zola-Marseille.epub,cet,55,56,1.7481880270062005,1.7403626894942439
realism_0,zola,realism,zola_Zola-Marseille.epub,même,54,57,1.7558748556724915,1.7323937598229686
realism_0,zola,realism,zola_Zola-Marseille.epub,largent,54,57,1.7558748556724915,1.7323937598229686
realism_0,zola,realism,zola_Zola-Marseille.epub,pauvre,52,59,1.7708520116421442,1.716003343634799
realism_0,zola,realism,zola_Zola-Marseille.epub,alors,52,59,1.7708520116421442,1.716003343634799
realism_0,zola,realism,zola_Zola-Marseille.epub,jamais,52,59,1.7708520116421442,1.716003343634799
realism_0,zola,realism,zola_Zola-Marseille.epub,encore,52,59,1.7708520116421442,1.716003343634799
realism_0,zola,realism,zola_Zola-Marseille.epub,oncle,52,59,1.7708520116421442,1.716003343634799
realism_0,zola,realism,zola_Zola-Marseille.epub,mains,51,64,1.806179973983887,1.7075701760979363
realism_0,zola,realism,zola_Zola-Marseille.epub,rien,51,64,1.806179973983887,1.7075701760979363
realism_0,zola,realism,zola_Zola-Marseille.epub,moi,50,66,1.8195439355418688,1.6989700043360187
realism_0,zola,realism,zola_Zola-Marseille.epub,sétait,50,66,1.8195439355418688,1.6989700043360187
realism_0,zola,realism,zola_Zola-Marseille.epub,gens,49,68,1.8325089127062364,1.6901960800285136
realism_0,zola,realism,zola_Zola-Marseille.epub,eut,49,68,1.8325089127062364,1.6901960800285136
realism_0,zola,realism,zola_Zola-Marseille.epub,jour,48,70,1.845098040014257,1.6812412373755872
realism_0,zola,realism,zola_Zola-Marseille.epub,dailleurs,47,71,1.8512583487190752,1.6720978579357175
realism_0,zola,realism,zola_Zola-Marseille.epub,fit,47,71,1.8512583487190752,1.6720978579357175
realism_0,zola,realism,zola_Zola-Marseille.epub,ans,46,73,1.863322860120456,1.662757831681574
realism_0,zola,realism,zola_Zola-Marseille.epub,mois,46,73,1.863322860120456,1.662757831681574
realism_0,zola,realism,zola_Zola-Marseille.epub,main,46,73,1.863322860120456,1.662757831681574
realism_0,zola,realism,zola_Zola-Marseille.epub,lorsque,46,73,1.863322860120456,1.662757831681574
realism_0,zola,realism,zola_Zola-Marseille.epub,cent,46,73,1.863322860120456,1.662757831681574
realism_0,zola,realism,zola_Zola-Marseille.epub,armande,45,78,1.8920946026904804,1.6532125137753437
realism_0,zola,realism,zola_Zola-Marseille.epub,voir,45,78,1.8920946026904804,1.6532125137753437
realism_0,zola,realism,zola_Zola-Marseille.epub,dire,45,78,1.8920946026904804,1.6532125137753437
realism_0,zola,realism,zola_Zola-Marseille.epub,sous,44,81,1.9084850188786497,1.6434526764861874
realism_0,zola,realism,zola_Zola-Marseille.epub,sauvaire,44,81,1.9084850188786497,1.6434526764861874
realism_0,zola,realism,zola_Zola-Marseille.epub,étaient,44,81,1.9084850188786497,1.6434526764861874
realism_0,zola,realism,zola_Zola-Marseille.epub,monsieur,43,84,1.9242792860618816,1.6334684555795866
realism_0,zola,realism,zola_Zola-Marseille.epub,pendant,43,84,1.9242792860618816,1.6334684555795866
realism_0,zola,realism,zola_Zola-Marseille.epub,allait,43,84,1.9242792860618816,1.6334684555795866
realism_0,zola,realism,zola_Zola-Marseille.epub,été,42,87,1.9395192526186185,1.6232492903979006
realism_0,zola,realism,zola_Zola-Marseille.epub,ainsi,42,87,1.9395192526186185,1.6232492903979006
realism_0,zola,realism,zola_Zola-Marseille.epub,répondit,42,87,1.9395192526186185,1.6232492903979006
realism_0,zola,realism,zola_Zola-Marseille.epub,quand,41,90,1.9542425094393248,1.6127838567197355
realism_0,zola,realism,zola_Zola-Marseille.epub,avaient,41,90,1.9542425094393248,1.6127838567197355
realism_0,zola,realism,zola_Zola-Marseille.epub,labbé,41,90,1.9542425094393248,1.6127838567197355
realism_0,zola,realism,zola_Zola-Marseille.epub,toujours,40,93,1.9684829485539352,1.6020599913279625
realism_0,zola,realism,zola_Zola-Marseille.epub,pouvait,38,94,1.9731278535996986,1.5797835966168101
realism_0,zola,realism,zola_Zola-Marseille.epub,êtes,38,94,1.9731278535996986,1.5797835966168101
realism_0,zola,realism,zola_Zola-Marseille.epub,aurait,38,94,1.9731278535996986,1.5797835966168101
realism_0,zola,realism,zola_Zola-Marseille.epub,cela,38,94,1.9731278535996986,1.5797835966168101
realism_0,zola,realism,zola_Zola-Marseille.epub,devait,38,94,1.9731278535996986,1.5797835966168101
realism_0,zola,realism,zola_Zola-Marseille.epub,ville,38,94,1.9731278535996986,1.5797835966168101
realism_0,zola,realism,zola_Zola-Marseille.epub,amants,37,100,2.0,1.568201724066995
realism_0,zola,realism,zola_Zola-Marseille.epub,enfant,37,100,2.0,1.568201724066995
realism_0,zola,realism,zola_Zola-Marseille.epub,lendemain,37,100,2.0,1.568201724066995
realism_0,zola,realism,zola_Zola-Marseille.epub,soir,36,103,2.012837224705172,1.5563025007672873
realism_0,zola,realism,zola_Zola-Marseille.epub,mère,36,103,2.012837224705172,1.5563025007672873
realism_0,zola,realism,zola_Zola-Marseille.epub,peutêtre,36,103,2.012837224705172,1.5563025007672873
realism_0,zola,realism,zola_Zola-Marseille.epub,maintenant,36,103,2.012837224705172,1.5563025007672873
realism_0,zola,realism,zola_Zola-Marseille.epub,grande,36,103,2.012837224705172,1.5563025007672873
realism_0,zola,realism,zola_Zola-Marseille.epub,avoir,35,108,2.03342375548695,1.5440680443502757
realism_0,zola,realism,zola_Zola-Marseille.epub,faisait,35,108,2.03342375548695,1.5440680443502757
realism_0,zola,realism,zola_Zola-Marseille.epub,venait,35,108,2.03342375548695,1.5440680443502757
realism_0,zola,realism,zola_Zola-Marseille.epub,ah,35,108,2.03342375548695,1.5440680443502757
